name,picUrl,urlA,urlB,urlC
耶鸡音乐ChikenPest,http://pic.xiami.net/images/artistlogo/1/14947575437901.png,http://pic.xiami.net/images/artistpic/63/818625763/1429511574_qFuQ.jpg,http://pic.xiami.net/images/artistpic/63/818625763/1429511565_T2ph.png,http://pic.xiami.net/images/artistpic/63/818625763/1434551420_B4il.jpg
Gordon,http://pic.xiami.net/images/artist/12348407786442.jpg,,,
暴斯,http://pic.xiami.net/images/artistlogo/24/13145225851724.jpg,,,
Big Sammy,http://pic.xiami.net/images/artistlogo/80/13897580603380.jpg,,,
JR Fog,http://pic.xiami.net/images/artistlogo/0/12833123852000.jpg,http://pic.xiami.net/images/artistpic/39/79339/1299845286_h4OO.jpg,http://pic.xiami.net/images/artistpic/39/79339/1328278682_sh8u.jpg,http://pic.xiami.net/images/artistpic/39/79339/1328278673_ietW.jpg
街道�?http://pic.xiami.net/images/artistpic/12/1115782812/1450250394_62xA.jpg,,http://pic.xiami.net/images/artistpic/12/1115782812/1450245212_dkHK.jpg,http://pic.xiami.net/images/artistpic/12/1115782812/1450247709_0nIA.jpg,http://pic.xiami.net/images/artistlogo/90/14843719585090.jpg
Kz,http://pic.xiami.net/images/artistlogo/27/12839287167027.jpg,http://pic.xiami.net/images/artistpic/37/79637/1295838904_d5QH.jpg,http://pic.xiami.net/images/artistpic/37/79637/1295838894_33SI.jpg,http://pic.xiami.net/images/artistpic/37/79637/1295838901_9g6j.jpg
长气制作,http://pic.xiami.net/images/artistlogo/34/14476451121034.jpg,http://pic.xiami.net/images/artistpic/72/2099999572/1464059381_y3z9.jpg,http://pic.xiami.net/images/artistpic/72/2099999572/1464059379_h31G.jpg,http://pic.xiami.net/images/artistpic/72/2099999572/1464059386_8lFp.jpg
大頭�?http://pic.xiami.net/images/artistpic/31/1320697431/1441874566_6exD.jpg,,http://pic.xiami.net/images/artistpic/31/1320697431/1436796711_aR0b.jpg,http://pic.xiami.net/images/artistpic/31/1320697431/1436796826_FmYh.jpg,http://pic.xiami.net/images/artistlogo/72/15121403308972.jpg
Mobb Deep Mobb Deep,https://pic.xiami.net/images/common/uploadpic/7/1501645422807.png,,,
Awa,http://pic.xiami.net/images/artistlogo/61/13851047924561.jpg,,,
DJ Premier,http://pic.xiami.net/images/artistlogo/64/13984102602964.jpg,http://pic.xiami.net/images/artistpic/28/39828/1291038417_xBot.jpg,http://pic.xiami.net/images/artistpic/28/39828/1377435771_bk1b.jpg,http://pic.xiami.net/images/artistpic/28/39828/1377435786_VZ9K.jpg
Raekwon,http://pic.xiami.net/images/artistlogo/44/14715971156744.jpg,http://pic.xiami.net/images/artistpic/24/19024/1342056090_k6pP.jpg,http://pic.xiami.net/images/artistpic/24/19024/1342001287_Ojtw.png,http://pic.xiami.net/images/artistpic/24/19024/1342056092_gGoW.png
Yelawolf,http://pic.xiami.net/images/artistlogo/62/14629606374962.jpg,http://pic.xiami.net/images/artistpic/22/77922/1307940551_zQRQ.jpg,http://pic.xiami.net/images/artistpic/22/77922/1307940392_bE89.png,http://pic.xiami.net/images/artistpic/22/77922/1307940549_bOhx.jpg
BooM,http://pic.xiami.net/images/artistlogo/4/14917399692604.png,,,
动力火车,http://pic.xiami.net/images/artistlogo/47/14690936503447.jpg,http://pic.xiami.net/images/artistpic/16/2716/1292478022_4atJ.jpg,http://pic.xiami.net/images/artistpic/16/2716/1253607488_BQYS.jpg,http://pic.xiami.net/images/artistpic/16/2716/1292478104_DFPB.jpg
CG,https://pic.xiami.net/images/common/uploadpic/7/1501645422807.png,,,
刘力�?http://pic.xiami.net/images/artistpic/18/23518/1273640237_weYA.jpg,,http://pic.xiami.net/images/artistpic/18/23518/1273640496_4Mnj.jpg,http://pic.xiami.net/images/artistpic/18/23518/1273640317_8v3E.jpg,http://pic.xiami.net/images/artistlogo/35/15103012183835.jpg
蔡淳�?http://pic.xiami.net/images/artistpic/40/1340/1251033450_Xptk.jpg,,http://pic.xiami.net/images/artistpic/40/1340/1251033337_LoKa.jpg,http://pic.xiami.net/images/artistpic/40/1340/1251033353_Rsbe.jpg,http://pic.xiami.net/images/artistlogo/47/13835548082247.jpeg
少女时代-泰蒂�?http://pic.xiami.net/images/artistpic/18/407404318/1410954663_4ve3.jpg,,http://pic.xiami.net/images/artistpic/18/407404318/1410954669_0XAV.jpg,http://pic.xiami.net/images/artistpic/18/407404318/1410954493_1HYm.jpg,http://pic.xiami.net/images/artistlogo/78/14587143355778.jpg
少女时代,http://pic.xiami.net/images/artistlogo/35/15023403192335.jpg,http://pic.xiami.net/images/artistpic/92/6992/1245418139_PMCn.jpg,http://pic.xiami.net/images/artistpic/92/6992/1245418227_yan9.jpg,http://pic.xiami.net/images/artistpic/92/6992/1245418346_qqZR.jpg
泰仁,http://pic.xiami.net/images/artistlogo/17/14872240038617.jpg,http://pic.xiami.net/images/artistpic/85/62385/1300244797_OLDA.jpg,http://pic.xiami.net/images/artistpic/85/62385/1284118885_wo6t.jpg,http://pic.xiami.net/images/artistpic/85/62385/1300244827_qm8d.jpg
林冠�?http://pic.xiami.net/images/artistpic/58/1858/1269509847_7wT4.jpg,,http://pic.xiami.net/images/artistpic/58/1858/1246596986_wFgp.jpg,http://pic.xiami.net/images/artistpic/58/1858/1246596965_PwnK.jpg,http://pic.xiami.net/images/artist/12295835745886.jpg
罗美�?http://pic.xiami.net/images/artistpic/70/1970/1288395674_IqLf.jpg,,http://pic.xiami.net/images/artistpic/70/1970/1288395662_xs3o.jpg,http://pic.xiami.net/images/artistpic/70/1970/1288395702_cx7O.jpg,http://pic.xiami.net/images/artistlogo/58/13983956086358.jpg
